    108.73,    113.03,    108.60,    111.77,    108.20,110888700.00
    113.86,    115.73,    113.49,    115.57,    111.88,89983600.00
    115.12,    116.13,    114.04,    114.92,    111.25,79886900.00
    115.19,    116.18,    113.25,    113.58,    109.95,47023000.00
    113.05,    114.12,    112.51,    113.57,    109.94,34514300.00
    113.85,    113.99,    112.44,    113.55,    109.92,36003200.00
    114.35,    114.94,    114.00,    114.62,    110.96,31074000.00
    114.42,    114.79,    111.55,    112.71,    109.11,52481200.00
    111.64,    113.39,    111.55,    112.88,    109.27,29869400.00
    113.00,    113.18,    112.34,    113.09,    109.47,24607400.00
    113.69,    114.64,    113.43,    113.95,    110.31,29641100.00
    113.16,    113.80,    111.80,    112.18,    108.59,35887000.00
    112.46,    113.37,    111.80,    113.05,    109.44,36379100.00
    112.71,    113.05,    112.28,    112.52,    108.92,21701800.00
    113.06,    114.31,    112.63,    113.00,    109.39,29736800.00
    113.40,    113.66,    112.69,    113.05,    109.44,21453100.00
    113.70,    114.34,    113.13,    113.89,    110.25,28779300.00
    114.31,    114.56,    113.51,    114.06,    110.41,24358400.00
    115.02,    116.75,    114.72,    116.05,    112.34,36236000.00
    117.70,    118.69,    116.20,    116.30,    112.58,64041000.00
    117.35,    117.98,    116.75,    117.34,    113.59,37586800.00
    116.79,    117.44,    115.72,    116.98,    113.24,35192400.00
    117.88,    118.17,    117.13,    117.63,    113.87,35652200.00
    117.33,    117.84,    116.78,    117.55,    113.79,23624900.00
    118.18,    118.21,    117.45,    117.47,    113.71,24553500.00
    117.25,    117.76,    113.80,    117.12,    113.38,20034600.00
    116.86,    117.38,    116.33,    117.06,    113.32,24125800.00
    116.81,    116.91,    116.28,    116.60,    112.87,23192700.00
    117.10,    117.74,    117.00,    117.65,    113.89,23538700.00
    117.95,    118.36,    117.31,    118.25,    114.47,48129000.00
    114.31,    115.70,    113.31,    115.59,    111.89,66134200.00
    115.39,    115.86,    114.10,    114.48,    110.82,34562000.00
    113.87,    115.21,    113.45,    113.72,    110.08,37861700.00
    113.65,    114.23,    113.20,    113.54,    109.91,26419400.00
    113.46,    113.77,    110.53,    111.49,    107.93,43825800.00
    111.40,    112.35,    111.23,    111.59,    108.02,28331700.00
    110.98,    111.46,    109.55,    109.83,    106.86,26932600.00
    108.53,    110.25,    108.11,    108.84,    105.90,30837000.00
    110.08,    110.51,    109.46,    110.41,    107.43,32560000.00
    110.31,    111.72,    109.70,    111.06,    108.06,24054500.00
    109.88,    111.32,    108.05,    110.88,    107.89,59176400.00
    111.09,    111.09,    105.83,    107.79,    104.88,57134500.00
    107.12,    108.87,    106.55,    108.43,    105.50,34094100.00
    107.71,    107.81,    104.08,    105.71,    102.86,51175500.00
    106.57,    107.68,    106.16,    107.11,    104.22,32264500.00
    106.70,    110.23,    106.60,    109.99,    107.02,58840500.00
    109.81,    110.35,    108.83,    109.95,    106.98,27632000.00
    109.72,    110.54,    109.66,    110.06,    107.09,28428900.00
    110.12,    111.99,    110.01,    111.73,    108.71,29264600.00
    111.95,    112.42,    111.40,    111.80,    108.78,25965500.00
    111.36,    111.51,    110.33,    111.23,    108.23,27426400.00
    111.13,    111.87,    110.95,    111.79,    108.77,11475900.00
    111.43,    112.47,    111.39,    111.57,    108.56,27194000.00
    110.78,    112.03,    110.07,    111.46,    108.45,28528800.00
    111.60,    112.20,    110.27,    110.52,    107.54,36162300.00
    110.37,    110.94,    109.03,    109.49,    106.53,37086900.00
    109.17,    110.09,    108.85,    109.90,    106.93,26528000.00
    110.00,    110.03,    108.25,    109.11,    106.16,34324500.00
    109.50,    110.36,    109.19,    109.95,    106.98,26195500.00
    109.26,    111.19,    109.16,    111.03,    108.03,29998700.00
    110.86,    112.43,    110.60,    112.12,    109.09,27068300.00
    112.31,    114.70,    112.31,    113.95,    110.87,34402600.00
    113.29,    115.00,    112.49,    113.30,    110.24,26374400.00
    113.84,    115.92,    113.75,    115.19,    112.08,43733800.00
    115.04,    116.20,    114.98,    115.19,    112.08,34031800.00
    115.38,    116.73,    115.23,    115.82,    112.69,46524500.00
